model_name,learning_rate,val_losses,val_accuracies,train_losses,train_accuracies,model_file
CNN2,0.001,"[0.06325176613671439, 0.06211789676121303, 0.05982458336012704, 0.057469637053353444, 0.06048154660633632, 0.0676545066492898, 0.07521986365318298, 0.07667868477957589, 0.07587207044873918, 0.10252946274621146, 0.11054245728467192, 0.1335687688418797, 0.13179210083825246, 0.18569701569420952, 0.16470492056437902, 0.1954337613923209, 0.19664310046604702, 0.21176004580089025, 0.25025530542646135, 0.28594625336783275]","[38.86743886743887, 47.23294723294723, 49.935649935649934, 49.80694980694981, 54.31145431145431, 51.86615186615187, 52.123552123552116, 51.0939510939511, 51.0939510939511, 51.737451737451735, 50.83655083655083, 51.86615186615187, 52.123552123552116, 49.163449163449165, 49.42084942084942, 48.00514800514801, 50.06435006435006, 46.71814671814672, 51.48005148005148, 51.737451737451735]","[1.360734886593289, 1.1171855011371652, 1.0292821893788346, 0.9292027558943238, 0.8486969470977783, 0.7818962760043867, 0.6800850629806519, 0.5862235938659822, 0.4772339210365758, 0.3679218752817674, 0.3053322204134681, 0.269322365973935, 0.18960808146030012, 0.13058966939158814, 0.15028126172796644, 0.08372476880410404, 0.09170241492584047, 0.09354064880277622, 0.04766720436416999, 0.03822445546011111]","[39.46615824594852, 53.22529393072768, 57.16555449634573, 62.53574833174452, 64.63298379408961, 67.8741658722593, 73.18080711789005, 77.56593581188433, 81.1566571337782, 85.98665395614871, 88.465204957102, 89.4184938036225, 93.00921512551636, 95.13822688274547, 94.8204639339053, 97.23546234509057, 96.98125198601844, 97.14013346043852, 98.18875119161106, 98.66539561487131]",model_CNN2_lr0.001.pt
CNN,0.001,"[0.05999416794095721, 0.06530590781143733, 0.05766872806208474, 0.06267709604331426, 0.06951085414205278, 0.08962084480694361, 0.09567985534667969, 0.11287653871944972, 0.11161892584392002, 0.1460162605558123, 0.1719583170754569, 0.19543706008366177, 0.2022554636001587, 0.26551567826952255, 0.20383456775120326, 0.24839614118848527, 0.27502261570521763, 0.3130812917436872, 0.2595740829195295, 0.30037010737827846]","[52.38095238095239, 42.72844272844273, 54.95495495495496, 49.163449163449165, 53.28185328185329, 50.06435006435006, 49.42084942084942, 46.46074646074646, 50.32175032175032, 50.965250965250966, 48.00514800514801, 50.32175032175032, 47.49034749034749, 45.559845559845556, 48.51994851994852, 47.10424710424711, 46.846846846846844, 44.65894465894466, 44.65894465894466, 46.975546975546976]","[1.3308463168866707, 1.1296066280567285, 0.9674230452739832, 0.8049210878935728, 0.6399380871743867, 0.4976584381527371, 0.39979199207190314, 0.2885453852288651, 0.21061772168284715, 0.14012930534704768, 0.09097659816457467, 0.0719971570910679, 0.049890451949334357, 0.08021708174063025, 0.07788683164975314, 0.03168914263773735, 0.03429274255470984, 0.06140519715751512, 0.06179940411962117, 0.037887704890277804]","[41.24563075945345, 53.002859866539566, 59.61232920241499, 67.58817921830314, 74.89672704162695, 80.48935494121385, 84.8109310454401, 89.00540197013028, 92.27836034318399, 95.01112170320941, 96.9176993962504, 97.55322529393072, 98.53829043533524, 97.23546234509057, 97.20368605020656, 99.07848744836352, 98.88782967905942, 97.9027645376549, 97.87098824277089, 98.91960597394343]",model_CNN_lr0.001.pt
CNN2,0.0001,"[0.06835886410304479, 0.06226147924150739, 0.059490618535450526, 0.05608861063207899, 0.05580221244267055, 0.05591151246002742, 0.05740650296211243, 0.057471143773623876, 0.05835170660700117, 0.06363435983657836, 0.05507868187768119, 0.059306911059788296, 0.05873781187193734, 0.061287955726896014, 0.06017677102770124, 0.0627762360232217, 0.0638326040336064, 0.0659992115838187, 0.06849240064620972, 0.07813859156199864]","[34.74903474903475, 41.44144144144144, 50.06435006435006, 53.53925353925354, 54.826254826254825, 54.440154440154444, 57.27155727155727, 52.25225225225225, 54.440154440154444, 51.86615186615187, 54.31145431145431, 55.5984555984556, 56.113256113256114, 54.18275418275418, 56.4993564993565, 55.85585585585585, 56.113256113256114, 55.341055341055345, 55.46975546975547, 55.08365508365508]","[1.526476870883595, 1.2372012078159986, 1.1381137690158805, 1.0655810881142664, 1.013894189487804, 0.9651285542382134, 0.9510098918519839, 0.8954573791436474, 0.8635541929139031, 0.8260141659264613, 0.8208015196853213, 0.7973477780216872, 0.7571478362637337, 0.7370215314205246, 0.7095198348315075, 0.6768036544925035, 0.6406859692299005, 0.6171059557283768, 0.5836478297156517, 0.5562956053199191]","[33.36510962821735, 46.80648236415634, 51.66825548141086, 55.830950111217035, 58.50015888147442, 60.69272322847156, 61.61423578010804, 64.15633937082936, 65.93581188433429, 67.68350810295519, 67.333968859231, 69.11344137273593, 69.93962503972037, 70.89291388624086, 71.90975532252939, 72.5135049253257, 74.57896409278678, 76.19955513187162, 77.43883063234827, 78.20146170956467]",model_CNN2_lr0.0001.pt
CNN,0.0001,"[0.06186850070953369, 0.05961486526897975, 0.058523782661982944, 0.053812187484332495, 0.05603134632110596, 0.06109890767506191, 0.06653080412319728, 0.06154219508171081, 0.06389506714684623, 0.0715791506426675, 0.0643606790474483, 0.0727585996900286, 0.07268020936420985, 0.08210789731570653, 0.08482765214783805, 0.08463259594781058, 0.09247675197465079, 0.09344064167567662, 0.10002797756876264, 0.12160782984324864]","[49.163449163449165, 45.94594594594595, 50.19305019305019, 55.341055341055345, 53.79665379665379, 52.25225225225225, 52.509652509652504, 49.80694980694981, 53.410553410553405, 51.35135135135135, 53.024453024453024, 53.153153153153156, 52.38095238095239, 53.024453024453024, 50.32175032175032, 51.994851994852, 50.57915057915058, 51.35135135135135, 54.95495495495496, 49.549549549549546]","[1.4039250142646558, 1.149540532116938, 1.0587518720915823, 0.9743866631478975, 0.9112997319963243, 0.8419853773984042, 0.811914752529125, 0.7444080171561, 0.6915218300289578, 0.6356852798148839, 0.6071944065166243, 0.563546845407197, 0.5045812906640949, 0.45818007308425324, 0.41512191671915727, 0.39330201663754205, 0.33088807114447005, 0.3018727014311636, 0.27071459260251785, 0.23754604981102126]","[37.94089609151573, 51.66825548141086, 56.02160788052113, 60.27963139497935, 63.29837940896091, 66.25357483317445, 66.82554814108676, 70.63870352716873, 72.64061010486176, 75.21448999046711, 76.39021290117573, 77.62948840165237, 80.77534159517, 82.71369558309502, 84.93803622497616, 84.55672068636797, 88.33809977756594, 88.71941531617414, 89.89513822688274, 91.83349221480775]",model_CNN_lr0.0001.pt
