model_name,learning_rate,val_losses,val_accuracies,train_losses,train_accuracies,model_file
CNN2,0.001,"[0.06191642965589251, 0.05529628992080689, 0.05710310552801404, 0.056289422512054446, 0.05728778498513358, 0.056390877280916483, 0.063093444279262, 0.06754088146345956, 0.06257824344294412, 0.072933315379279, 0.07943603609289442, 0.09252002920423236, 0.10446773767471314, 0.10245571477072579, 0.13668209314346313, 0.14241114343915667, 0.16272129331316268, 0.15262041091918946, 0.16107733249664308, 0.20527441501617433]","[46.71814671814672, 52.25225225225225, 52.509652509652504, 52.638352638352636, 51.86615186615187, 52.638352638352636, 52.38095238095239, 49.935649935649934, 52.8957528957529, 51.86615186615187, 52.76705276705277, 51.0939510939511, 51.60875160875161, 49.80694980694981, 51.737451737451735, 46.71814671814672, 50.19305019305019, 51.48005148005148, 49.034749034749034, 50.57915057915058]","[1.2992900929065665, 1.0644219836803397, 1.004682567384508, 0.9646755487027795, 0.8981859208357454, 0.8470188108357516, 0.7859783479661653, 0.7106905943817563, 0.6268713423097977, 0.549586568065364, 0.4806305993385989, 0.40669846399263904, 0.34375395949440773, 0.2721638028519322, 0.2536474771872915, 0.19744754843225684, 0.15652726850274837, 0.13533253858637329, 0.13727327075909185, 0.07911967090095835]","[41.56339370829361, 52.36733396885923, 55.79917381633302, 58.11884334286622, 61.9319987289482, 63.520813473149026, 67.46107403876708, 70.0031776294884, 74.89672704162695, 78.2650142993327, 81.09310454401016, 84.33428662217986, 86.39974578964093, 89.95869081665077, 90.7530981887512, 92.43724181760406, 94.08960915157293, 95.20177947251351, 95.29710835716556, 97.64855417858278]",model_CNN2_lr0.001.pt
CNN,0.001,"[0.06038063679422651, 0.056701614601271495, 0.05972844660282135, 0.06407519834382193, 0.07340777686664036, 0.0769667284829276, 0.09761406438691275, 0.12181768417358399, 0.12111583692686899, 0.1774633628981454, 0.15492983290127346, 0.2140400835445949, 0.21227756568363734, 0.2234595230647496, 0.25803984914507183, 0.24460386889321464, 0.2555569921221052, 0.21108737843377248, 0.24081681796482632, 0.2905341591153826]","[50.06435006435006, 51.60875160875161, 49.549549549549546, 46.58944658944659, 48.00514800514801, 49.163449163449165, 48.51994851994852, 47.361647361647364, 50.19305019305019, 47.87644787644788, 50.32175032175032, 48.39124839124839, 48.9060489060489, 48.9060489060489, 49.80694980694981, 49.549549549549546, 49.29214929214929, 49.034749034749034, 48.13384813384813, 49.034749034749034]","[1.2476839218476805, 1.0065074436592334, 0.8872609475646356, 0.7671805686420865, 0.6096147756383876, 0.4692924820413493, 0.3676219916704929, 0.24907841341513576, 0.1922436375735384, 0.12457666250481976, 0.09519008855627041, 0.05881411804243772, 0.0802493833706272, 0.06893990623924617, 0.053939278155207784, 0.04467378115496655, 0.0293957905601616, 0.05231277808056665, 0.03782564687020512, 0.011977773488409855]","[43.53352399110263, 56.65713377820146, 62.63107721639657, 67.4928503336511, 75.40514775977121, 81.63330155703845, 86.17731172545281, 90.59421671433111, 92.62789958690817, 95.51954242135366, 96.59993644741023, 98.02986971719098, 97.39434381951064, 97.3307912297426, 98.22052748649509, 98.4747378455672, 99.14204003813155, 98.18875119161106, 98.95138226882746, 99.71401334604386]",model_CNN_lr0.001.pt
CNN2,0.0001,"[0.06168220554079328, 0.05542723962238857, 0.05664418339729309, 0.05924095255987985, 0.054366437877927505, 0.0562599880354745, 0.05690673419407436, 0.06193788392203195, 0.05492942120347704, 0.05817760825157166, 0.053152952449662345, 0.0601328364440373, 0.06048081091472081, 0.058710736036300656, 0.06368579609053475, 0.05954298802784511, 0.06078421558652605, 0.06018816658428737, 0.06248202068465097, 0.06620215007237025]","[45.81724581724582, 47.87644787644788, 51.0939510939511, 50.83655083655083, 51.994851994852, 53.153153153153156, 54.69755469755469, 49.549549549549546, 56.37065637065637, 53.024453024453024, 55.21235521235521, 50.45045045045045, 53.79665379665379, 52.638352638352636, 51.22265122265123, 54.69755469755469, 52.76705276705277, 51.86615186615187, 52.509652509652504, 49.67824967824968]","[1.461825895791102, 1.1127705863027861, 1.0460139031362052, 1.0109207130441762, 0.9793344946822735, 0.9598354950095668, 0.9345140553484059, 0.914241095383962, 0.8932117578959224, 0.8700337367828446, 0.8561869901840133, 0.8304391238424513, 0.815492681782655, 0.7959658825638318, 0.7662377772909222, 0.7619708926990779, 0.722574488984214, 0.7166511226784099, 0.685036058979805, 0.6599347645586188]","[32.030505243088655, 51.445821417222746, 54.845884969812516, 57.73752780425803, 58.50015888147442, 59.96186844613918, 60.72449952335558, 61.29647283126788, 62.66285351128058, 63.99745789640928, 64.12456307594535, 65.5544963457261, 66.3489037178265, 66.76199555131872, 68.28725770575151, 67.96949475691135, 70.35271687321259, 69.90784874483636, 72.16396568160152, 73.78455672068637]",model_CNN2_lr0.0001.pt
CNN,0.0001,"[0.05708722983087812, 0.05417409368923732, 0.05548118821212224, 0.05694433535848345, 0.05459017753601074, 0.05602188876696995, 0.05685499736240932, 0.062093162536621095, 0.056957659551075526, 0.06326561570167541, 0.06016548957143511, 0.06967498574938093, 0.06597567541258675, 0.06826432773045131, 0.07498645441872732, 0.07260851349149432, 0.08009046912193299, 0.078851979970932, 0.0867776163986751, 0.09867290258407593]","[49.67824967824968, 50.83655083655083, 52.76705276705277, 51.737451737451735, 52.509652509652504, 53.925353925353924, 55.46975546975547, 47.10424710424711, 53.28185328185329, 50.45045045045045, 52.638352638352636, 48.9060489060489, 50.83655083655083, 52.38095238095239, 50.83655083655083, 51.35135135135135, 49.034749034749034, 51.737451737451735, 51.48005148005148, 49.549549549549546]","[1.3134251327225657, 1.0352376651282262, 0.9839250914978258, 0.939577230299362, 0.8869697481694848, 0.8538395708257501, 0.8200465172830255, 0.7777702025692872, 0.7341688166965138, 0.6764985897926369, 0.6576266035889134, 0.616681261797144, 0.5778000974895978, 0.5396696756584476, 0.48568828735086655, 0.453080081578457, 0.41066634369016897, 0.378331012196011, 0.33044840463183145, 0.30058434921683685]","[40.29234191293295, 55.92627899586908, 57.67397521448999, 61.07403876707976, 63.67969494756911, 65.36383857642198, 65.30028598665396, 68.47791547505561, 69.93962503972037, 72.4817286304417, 73.87988560533842, 75.40514775977121, 77.72481728630441, 78.99586908166508, 81.76040673657452, 82.68191928821099, 84.42961550683191, 85.35112805846839, 88.33809977756594, 89.2278360343184]",model_CNN_lr0.0001.pt
