model_name,learning_rate,val_losses,val_accuracies,train_losses,train_accuracies,avg_test_loss,test_accuracy,model_file
CNN,0.001,"[0.049027530636106216, 0.04713221447808402, 0.05863737378801618, 0.04783607721328735, 0.053644020216805595, 0.05881997006280082, 0.06257653576987131, 0.08107050657272338, 0.0988917282649449, 0.1217041015625, 0.13611748559134348, 0.12583422149930681, 0.1337454855442047, 0.1665676304272243, 0.17849833284105573, 0.172474091393607, 0.18273505653653827, 0.1853505986077445, 0.18421552521841866, 0.19955218689782278, 0.1963184118270874, 0.17014867748532977, 0.18961076055254256, 0.17206119128635952, 0.18445940358298166, 0.20223126070840017, 0.20037268740790232, 0.20395942756107877, 0.2143134423664638, 0.21640446186065673]","[48.9051094890511, 53.86861313868613, 47.153284671532845, 53.57664233576642, 52.11678832116788, 48.9051094890511, 51.240875912408754, 48.613138686131386, 50.948905109489054, 48.9051094890511, 51.240875912408754, 50.36496350364964, 49.48905109489051, 49.78102189781022, 49.051094890510946, 47.2992700729927, 48.613138686131386, 50.07299270072993, 49.051094890510946, 50.21897810218978, 48.613138686131386, 49.92700729927007, 49.78102189781022, 48.9051094890511, 47.737226277372265, 48.9051094890511, 49.1970802919708, 49.92700729927007, 50.36496350364964, 50.65693430656935]","[1.2708387776862744, 1.0271863736385523, 0.9235730081103569, 0.8606430111929427, 0.725688413825146, 0.6247463274833768, 0.49934404984463093, 0.37385128317184224, 0.2662695564849432, 0.1784642434917217, 0.13696029613357644, 0.15491041789091256, 0.0720854160473357, 0.036829296261245426, 0.03014429067911277, 0.08831171976770599, 0.042990984725441, 0.06418665179300534, 0.028014017694066605, 0.009902678248012265, 0.03187253600125862, 0.05370978499372858, 0.03468689175057333, 0.05822320653228522, 0.01979831325940701, 0.043579629863860075, 0.045487531735615934, 0.0058954274177796286, 0.002141418693713075, 0.0019586372558013294]","[43.7980241492865, 55.762897914379806, 60.51957555799488, 63.73948042444201, 69.37431394072448, 73.54555433589462, 79.91218441273325, 84.88840102451518, 90.04756677643616, 93.23088181485546, 94.36516648371752, 94.51152579582876, 97.40212221002561, 98.75594584705452, 99.04866447127698, 97.84120014635931, 98.79253567508232, 97.73143066227588, 99.12184412733261, 99.70728137577754, 99.19502378338821, 98.46322722283205, 99.12184412733261, 98.09732894255397, 99.37797292352725, 98.82912550311013, 98.46322722283205, 99.89023051591658, 99.96341017197219, 99.89023051591658]",4.992461204528809,50.65693430656935,model_CNN_lr0.001.pt
CNN2,0.001,"[0.04917099901608058, 0.046759252888815744, 0.04750351437500545, 0.04722089384283338, 0.048937174252101354, 0.050594103336334226, 0.05317648393767221, 0.05874688284737723, 0.06929058943475996, 0.07759876251220703, 0.09654699989727565, 0.09027951530047826, 0.11941981656210764, 0.12427589893341065, 0.13370092255728586, 0.15364576067243305, 0.14244987283434188, 0.14977896043232508, 0.16863746132169452, 0.1690375941140311, 0.19369317293167115, 0.19415772301810127, 0.20977817603519985, 0.1775230714253017, 0.18940483161381313, 0.19505022253308976, 0.18445335115705216, 0.20880980661937168, 0.227100556237357, 0.21949513299124582]","[52.11678832116788, 54.01459854014598, 52.26277372262774, 54.598540145985396, 54.598540145985396, 52.55474452554745, 53.43065693430656, 55.76642335766423, 53.57664233576642, 49.34306569343065, 52.99270072992701, 51.09489051094891, 51.53284671532846, 53.86861313868613, 54.16058394160584, 50.36496350364964, 50.51094890510949, 51.09489051094891, 47.88321167883212, 51.53284671532846, 50.36496350364964, 51.09489051094891, 50.36496350364964, 50.07299270072993, 51.240875912408754, 51.386861313868614, 51.240875912408754, 52.846715328467155, 53.86861313868613, 54.01459854014598]","[1.318970809842265, 1.0628664209399112, 0.96054942108864, 0.9026643807111785, 0.8203996392183526, 0.7581611656865408, 0.6718252276958421, 0.578829639179762, 0.4720381200313568, 0.38928594630818036, 0.29696607225856114, 0.3098375912495824, 0.1775005049137182, 0.19572877156180005, 0.10749908800908299, 0.10414091966028304, 0.1246261657973708, 0.0874950688516418, 0.09487707455382617, 0.07570165544640013, 0.05545888947211964, 0.039072099967513145, 0.028218513074111693, 0.07701457223616713, 0.05415723197768594, 0.03947637760862816, 0.061128612484533856, 0.005968295047898928, 0.0020508824131549013, 0.001592671839145708]","[41.78558360775704, 54.70179290157336, 58.83644346871569, 62.056348335162824, 65.0567142334431, 67.32528357116722, 72.08196121478228, 76.47274057811929, 81.99780461031834, 84.22978412001464, 88.73033296743506, 87.63263812660081, 93.19429198682766, 92.06000731796561, 96.4873765093304, 96.30442736919137, 95.5360409806074, 97.21917306988657, 96.4507866813026, 97.10940358580315, 98.2436882546652, 98.53640687888768, 99.19502378338821, 97.73143066227588, 98.2070984266374, 98.75594584705452, 97.87778997438711, 99.89023051591658, 99.96341017197219, 99.92682034394437]",5.143503626187642,54.01459854014598,model_CNN2_lr0.001.pt
CNN,0.0001,"[0.05478860650743757, 0.04990358863558088, 0.04758380481175014, 0.044079838054520745, 0.0467424886567252, 0.04639717085020883, 0.04597639271191188, 0.04695896421160017, 0.04741212427616119, 0.0486605737890516, 0.048383912444114684, 0.04986232476575034, 0.0492276770727975, 0.05378940190587725, 0.05381310326712472, 0.05996004172733852, 0.060896306378500804, 0.06266726340566363, 0.06817878655024938, 0.06851426618439811, 0.07355492285319737, 0.0774949984891074, 0.08103160176958357, 0.08127740791865758, 0.0893226546900613, 0.08935976624488831, 0.09554685269083296, 0.09956995759691512, 0.10925984382629395, 0.10138121928487505]","[46.86131386861314, 52.55474452554745, 52.846715328467155, 55.76642335766423, 50.36496350364964, 52.700729927007295, 51.82481751824818, 52.99270072992701, 52.55474452554745, 52.26277372262774, 51.82481751824818, 54.16058394160584, 53.284671532846716, 52.55474452554745, 52.99270072992701, 51.09489051094891, 55.76642335766423, 51.82481751824818, 49.1970802919708, 49.48905109489051, 51.53284671532846, 50.51094890510949, 51.82481751824818, 52.40875912408759, 49.78102189781022, 52.846715328467155, 49.48905109489051, 51.82481751824818, 51.240875912408754, 52.846715328467155]","[1.3952580260676006, 1.1321552174035894, 1.0377775777217955, 0.9855589235937873, 0.9535665491292643, 0.9012188232222269, 0.8906629542971767, 0.8526201213515082, 0.8030133649360301, 0.7658973183742789, 0.7164570072362589, 0.7067241436520288, 0.6511685491301292, 0.6116589903831482, 0.5683405184468557, 0.5393514005943786, 0.5001082820601241, 0.43457520164029545, 0.4056067283070365, 0.3737693276516227, 0.3269047468554142, 0.2889317255034003, 0.25156840760000915, 0.21540791498020637, 0.19794782077850298, 0.16209095231322354, 0.14150430028175198, 0.11527619918071946, 0.10178539109264695, 0.07446697103076202]","[38.63885839736553, 52.43322356384925, 56.53128430296378, 59.7511891694109, 60.33662641785583, 61.61727039882913, 63.37358214416392, 65.0567142334431, 66.59348701061106, 68.1668496158068, 70.28905964141968, 70.69154774972559, 74.3139407244786, 75.48481522136846, 77.02158799853642, 78.55836077570434, 80.16831320892793, 83.31503841931944, 83.68093669959751, 85.8397365532382, 88.0717160629345, 89.75484815221368, 91.1452616172704, 93.3406512989389, 93.70654957921698, 95.60922063666301, 96.19465788510794, 96.9630442736919, 97.10940358580315, 98.60958653494329]",2.4556969006856284,52.846715328467155,model_CNN_lr0.0001.pt
CNN2,0.0001,"[0.055036263806479316, 0.05371011921337673, 0.0501836827823094, 0.04821994517530714, 0.04833277293613979, 0.04709517870630537, 0.04517727664538792, 0.04793014356068202, 0.04713784882000514, 0.047229393465178356, 0.04702313031469073, 0.048576862471444264, 0.046629235574177336, 0.05064354198319571, 0.05036909324782235, 0.055033153295516966, 0.054589706233569554, 0.05730385950633458, 0.06242894956043788, 0.06435777630124773, 0.0682134679385594, 0.07225230506488255, 0.07063075644629342, 0.07349174278123038, 0.08671721220016479, 0.08405366199357168, 0.09442091839654106, 0.09695803778512137, 0.10202482002122061, 0.09802797947611128]","[50.36496350364964, 50.21897810218978, 51.240875912408754, 52.846715328467155, 50.948905109489054, 51.386861313868614, 50.51094890510949, 51.97080291970803, 55.76642335766423, 55.18248175182482, 52.55474452554745, 55.47445255474452, 54.16058394160584, 53.86861313868613, 54.89051094890512, 51.67883211678832, 56.20437956204379, 51.97080291970803, 50.51094890510949, 50.51094890510949, 53.86861313868613, 48.46715328467153, 53.284671532846716, 50.948905109489054, 50.36496350364964, 50.21897810218978, 50.36496350364964, 50.36496350364964, 51.09489051094891, 50.51094890510949]","[1.5041108921516773, 1.2451247669929681, 1.156782527995664, 1.0813270536966102, 1.0303437585054442, 0.9665572178918261, 0.9475551206012105, 0.9175711017708446, 0.8726585257885068, 0.8414399596147759, 0.7990011746107146, 0.7916687103204949, 0.7353898151669391, 0.7124451766180437, 0.6784086532370989, 0.6538916850505874, 0.6066457137118938, 0.555881935496663, 0.5219353988420131, 0.4878565759159798, 0.4678349827611169, 0.40990697419227556, 0.39562250881694083, 0.3372919968394346, 0.30791666861190353, 0.27367602262732593, 0.2314158046488152, 0.21255525106260942, 0.1878261637202529, 0.18122548917525036]","[34.39443834613977, 48.11562385656787, 51.189169410903766, 54.95792169776802, 57.04354189535309, 59.055982436882545, 60.007317965605566, 61.9465788510794, 63.73948042444201, 64.50786681302598, 66.7764361507501, 66.8496158068057, 69.26454445664105, 70.58177826564214, 72.04537138675448, 73.80168313208928, 74.93596780095133, 77.53384559092572, 78.48518111964874, 80.90010976948409, 82.10757409440176, 84.5225027442371, 84.99817050859862, 87.596048298573, 88.69374313940725, 90.04756677643616, 91.95023783388217, 92.86498353457738, 94.10903768752287, 93.23088181485546]",2.3021374146143594,50.51094890510949,model_CNN2_lr0.0001.pt
